지점,지점명,일시,기온(°C),강수량(mm),습도(%),적설(cm)
119,수원,2025-06-01 01:00,15.9,,79,
119,수원,2025-06-01 02:00,15.3,,85,
119,수원,2025-06-01 03:00,14.8,,90,
119,수원,2025-06-01 04:00,14.5,,91,
119,수원,2025-06-01 05:00,14.5,,91,
119,수원,2025-06-01 06:00,14.4,,92,
119,수원,2025-06-01 07:00,16.8,,83,
119,수원,2025-06-01 08:00,18.9,,73,
119,수원,2025-06-01 09:00,21.2,,63,
119,수원,2025-06-01 10:00,22.5,,56,
119,수원,2025-06-01 11:00,24.3,,53,
119,수원,2025-06-01 12:00,25.6,,44,
119,수원,2025-06-01 13:00,26.5,,43,
119,수원,2025-06-01 14:00,27.3,,43,
119,수원,2025-06-01 15:00,27.2,,45,
119,수원,2025-06-01 16:00,27,,38,
119,수원,2025-06-01 17:00,25.3,,44,
119,수원,2025-06-01 18:00,23.2,,51,
119,수원,2025-06-01 19:00,21.9,,56,
119,수원,2025-06-01 20:00,20.7,,61,
119,수원,2025-06-01 21:00,19,,68,
119,수원,2025-06-01 22:00,18.2,,70,
119,수원,2025-06-01 23:00,17.7,,73,
119,수원,2025-06-02 00:00,17.1,,74,
119,수원,2025-06-02 01:00,17,,79,
119,수원,2025-06-02 02:00,16.8,,73,
119,수원,2025-06-02 03:00,17.2,,75,
119,수원,2025-06-02 04:00,17,,78,
119,수원,2025-06-02 05:00,16.9,,79,
119,수원,2025-06-02 06:00,16.8,,81,
119,수원,2025-06-02 07:00,17.2,,81,
119,수원,2025-06-02 08:00,18.5,,75,
119,수원,2025-06-02 09:00,19.8,,70,
119,수원,2025-06-02 10:00,20.4,,67,
119,수원,2025-06-02 11:00,20.5,0,67,
119,수원,2025-06-02 12:00,22,0,52,
119,수원,2025-06-02 13:00,22.8,0,51,
119,수원,2025-06-02 14:00,23.3,0,50,
119,수원,2025-06-02 15:00,23.2,0,48,
119,수원,2025-06-02 16:00,22.5,,63,
119,수원,2025-06-02 17:00,20.6,,61,
